tag,group
web,platform
desktop,platform
linux,platform
macos,platform
windows,platform
android,platform
ios,platform

self-hosted,hosting
cloud,hosting
local-first,hosting
offline-capable,hosting

privacy-focused,privacy
encrypted,privacy
end-to-end-encryption,privacy
no-tracking,privacy
anonymous,privacy

cli,technical
api,technical
extensible,technical
plugin-based,technical
lightweight,technical

real-time,functional
collaborative,functional
automation,functional
synchronization,functional
cross-platform,functional

beginner-friendly,ux

markdown,domain
photo-management,domain
password-manager,domain
note-taking,domain
music-production,domain
video-editing,domain
audio-editing,domain
screen-recording,domain
streaming,domain
media-player,domain
document-editing,domain
spreadsheet-editing,domain
presentation-editing,domain
knowledge-base,domain
task-management,domain
image-editing,domain
vector-graphics,domain
3d-modeling,domain
animation,domain
illustration,domain
llm,domain
image-generation,domain
speech-to-text,domain
text-to-speech,domain
file-management,domain
secure-messaging,domain
