id,name,Category,subcategory,description,website,github,license,platforms,tags,difficulty,self_hosted,year_started
gimp,GIMP,Design,image-editing|illustration,"""Raster graphics editor for photo retouching, digital painting, compositing, and format conversion, with a plugin and scripting ecosystem for advanced image workflows.""",https://www.gimp.org/,https://github.com/GNOME/gimp,GPL,linux|macos|windows,cross-platform|offline-capable|plugin-based|extensible|customizable,intermediate,FALSE,1995
blender,Blender,Design,3d-modeling|illustration|video-editing,"""3D creation suite covering modeling, rigging, animation, simulation, rendering, compositing, motion tracking, and video editing in a unified workflow.""",https://www.blender.org/,https://github.com/blender/blender,GPL,linux|macos|windows,cross-platform|extensible|customizable|advanced-users,advanced,FALSE,1994
obs,OBS Studio,Media,screen-recording|streaming,"""Live production and capture software for recording and streaming, featuring scene-based composition, real-time audio/video mixing, and plugin support for extending functionality.""",https://obsproject.com/,https://github.com/obsproject/obs-studio,GPL,linux|macos|windows,real-time|cross-platform|plugin-based|customizable|advanced-users,intermediate,FALSE,2012
libreoffice,LibreOffice,Productivity,document-editing|spreadsheet-editing|presentation-editing,"""Office suite for word processing, spreadsheets, and presentations, with strong compatibility for common file formats and additional tools for diagrams, databases, and formulas.""",https://www.libreoffice.org/,https://github.com/LibreOffice/core,MPL,linux|macos|windows,cross-platform|offline-capable|beginner-friendly|customizable|no-tracking,beginner,FALSE,2010
keepassxc,KeePassXC,Security,password-managers|encryption,"""Desktop password manager that stores credentials, notes, and one-time codes in an encrypted local vault, with browser integration and strong password generation.""",https://keepassxc.org/,https://github.com/keepassxreboot/keepassxc/,GPL,linux|macos|windows,cross-platform|encrypted|privacy-focused|offline-capable|local-first|customizable|no-tracking,intermediate,FALSE,2016
languagetool,LanguageTool,Productivity,learning|document-editing,"""Multilingual grammar, style, and spell checker that catches errors beyond basic spellchecking and can run through browser/editor integrations, an HTTP API, or a self-hosted server.""",https://languagetool.org/,https://github.com/languagetool-org/languagetool/,LGPL,web|linux|macos|windows,api|cross-platform|real-time|self-hosted,beginner,TRUE,2005
latex-gboard-dictionary,LaTeX Gboard Dictionary,Utilities,language-learning|interactive-learning,"""Importable Android dictionary for Gboard that makes mathematical symbols easier to type using LaTeX-inspired keyboard shortcuts on a phone.""",https://github.com/DenverCoder1/LaTeX-Gboard-Dictionary/,https://github.com/DenverCoder1/LaTeX-Gboard-Dictionary/,MIT,android,lightweight|local-first|customizable|advanced-users,advanced,FALSE,2021
owncast,Owncast,Media,streaming|servers,"""Self-hosted live video and web chat server that works with existing broadcasting software and gives streamers control over hosting, customization, and audience interaction.""",https://owncast.online/,https://github.com/owncast/owncast/,MIT,web|linux|macos|windows,self-hosted|real-time|multi-user|api|customizable,intermediate,TRUE,2020
vlc,VLC Media Player,Media,media-players|streaming,"""Cross-platform media player and multimedia framework that plays local files, discs, devices, and network streams, with broad codec support and no ads or user tracking.""",https://www.videolan.org/vlc/,https://github.com/videolan/vlc/,LGPL,linux|macos|windows|android|ios,cross-platform|offline-capable|customizable|no-tracking,beginner,FALSE,2001
shotcut,Shotcut,Media,video-editing,"""Cross-platform video editor with native timeline editing, broad format support, realtime preview, and a flexible dockable interface for more involved editing workflows.""",https://shotcut.org/,https://github.com/mltframework/shotcut/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,intermediate,FALSE,2004
audacity,Audacity,Media,audio-editing,"""Audio editor and recorder for capturing, editing, and processing sound with multi-track support, effects, and precise waveform-level control.""",https://www.audacityteam.org/,https://github.com/audacity/audacity/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,beginner,FALSE,2000
brave,Brave Browser,Privacy,browsers,"""Web browser focused on speed and privacy, with built-in ad and tracker blocking, optional private browsing modes, and a Chromium-based rendering engine.""",https://brave.com/,https://github.com/brave/brave-browser/,MPL,linux|macos|windows|android|ios,cross-platform|privacy-focused|no-tracking|anonymous,beginner,FALSE,2016
filezilla,FileZilla,Networking,servers|file-management,"""FTP client and server solution for transferring files over network protocols like FTP, SFTP, and FTPS, with support for remote file management and large transfers.""",https://filezilla-project.org/,https://github.com/filezilla/filezilla/,GPL,linux|macos|windows,cross-platform|multi-user,intermediate,FALSE,2001
thunderbird,Thunderbird,Privacy,email,"""Email client for managing multiple accounts with features like message filtering, encryption support, calendar integration, and extensive customization through add-ons.""",https://www.thunderbird.net/,https://github.com/mozilla/releases-comm-central/,MPL,linux|macos|windows,cloud|privacy-focused|encrypted|end-to-end-encryption|synchronization,beginner,FALSE,2003
